Manufacturer,Model,Sales in thousands,4-year resale value,Vehicle type,Price in thousands,Engine size,Horsepower,Wheelbase,Width
Acura        ,Integra          ,16.919,16.36,Passenger,21.5,1.8,140,101.2,67.3
Acura        ,TL               ,39.384,19.875,Passenger,28.4,3.2,225,108.1,70.3
Acura        ,CL               ,14.114,18.225,Passenger,.,3.2,225,106.9,70.6
Acura        ,RL               ,8.588,29.725,Passenger,42,3.5,210,114.6,71.4
Audi         ,A4               ,20.397,22.255,Passenger,23.99,1.8,150,102.6,68.2
Audi         ,A6               ,18.78,23.555,Passenger,33.95,2.8,200,108.7,76.1
Audi         ,A8               ,1.38,39,Passenger,62,4.2,310,113,74
BMW          ,323i             ,19.747,.,Passenger,26.99,2.5,170,107.3,68.4
BMW          ,328i             ,9.231,28.675,Passenger,33.4,2.8,193,107.3,68.5
BMW          ,528i             ,17.527,36.125,Passenger,38.9,2.8,193,111.4,70.9
Buick        ,Century          ,91.561,12.475,Passenger,21.975,3.1,175,109,72.7
Buick        ,Regal            ,39.35,13.74,Passenger,25.3,3.8,240,109,72.7
Buick        ,Park Avenue      ,27.851,20.19,Passenger,31.965,3.8,205,113.8,74.7
Buick        ,LeSabre          ,83.257,13.36,Passenger,27.885,3.8,205,112.2,73.5
Cadillac     ,DeVille          ,63.729,22.525,Passenger,39.895,4.6,275,115.3,74.5
Cadillac     ,Seville          ,15.943,27.1,Passenger,44.475,4.6,275,112.2,75
Cadillac     ,Eldorado         ,6.536,25.725,Passenger,39.665,4.6,275,108,75.5
Cadillac     ,Catera           ,11.185,18.225,Passenger,31.01,3,200,107.4,70.3
Cadillac     ,Escalade         ,14.785,.,Car,46.225,5.7,255,117.5,77
Chevrolet    ,Cavalier         ,145.519,9.25,Passenger,13.26,2.2,115,104.1,67.9
Chevrolet    ,Malibu           ,135.126,11.225,Passenger,16.535,3.1,170,107,69.4
Chevrolet    ,Lumina           ,24.629,10.31,Passenger,18.89,3.1,175,107.5,72.5
Chevrolet    ,Monte Carlo      ,42.593,11.525,Passenger,19.39,3.4,180,110.5,72.7
Chevrolet    ,Camaro           ,26.402,13.025,Passenger,24.34,3.8,200,101.1,74.1
Chevrolet    ,Corvette         ,17.947,36.225,Passenger,45.705,5.7,345,104.5,73.6
Chevrolet    ,Prizm            ,32.299,9.125,Passenger,13.96,1.8,120,97.1,66.7
Chevrolet    ,Metro            ,21.855,5.16,Passenger,9.235,1,55,93.1,62.6
Chevrolet    ,Impala           ,107.995,.,Passenger,18.89,3.4,180,110.5,73
Chrysler     ,Sebring Coupe    ,7.854,12.36,Passenger,19.84,2.5,163,103.7,69.7
Chrysler     ,Sebring Conv.    ,32.775,14.18,Passenger,24.495,2.5,168,106,69.2
Chrysler     ,Concorde         ,31.148,13.725,Passenger,22.245,2.7,200,113,74.4
Chrysler     ,Cirrus           ,32.306,12.64,Passenger,16.48,2,132,108,71
Chrysler     ,LHS              ,13.462,17.325,Passenger,28.34,3.5,253,113,74.4
Chrysler     ,Town & Country   ,53.48,19.54,Car,.,.,.,.,.
Chrysler     ,300M             ,30.696,.,Passenger,29.185,3.5,253,113,74.4
Dodge        ,Neon             ,76.034,7.75,Passenger,12.64,2,132,105,74.4
Dodge        ,Avenger          ,4.734,12.545,Passenger,19.045,2.5,163,103.7,69.1
Dodge        ,Stratus          ,71.186,10.185,Passenger,20.23,2.5,168,108,71
Dodge        ,Intrepid         ,88.028,12.275,Passenger,22.505,2.7,202,113,74.7
Dodge        ,Viper            ,0.916,58.47,Passenger,69.725,8,450,96.2,75.7
Dodge        ,Ram Pickup       ,227.061,15.06,Car,19.46,5.2,230,138.7,79.3
Dodge        ,Ram Wagon        ,16.767,15.51,Car,21.315,3.9,175,109.6,78.8
Dodge        ,Ram Van          ,31.038,13.425,Car,18.575,3.9,175,127.2,78.8
Dodge        ,Dakota           ,111.313,11.26,Car,16.98,2.5,120,131,71.5
Dodge        ,Durango          ,101.323,.,Car,26.31,5.2,230,115.7,71.7
Dodge        ,Caravan          ,181.749,12.025,Car,19.565,2.4,150,113.3,76.8
Ford         ,Escort           ,70.227,7.425,Passenger,12.07,2,110,98.4,67
Ford         ,Mustang          ,113.369,12.76,Passenger,21.56,3.8,190,101.3,73.1
Ford         ,Contour          ,35.068,8.835,Passenger,17.035,2.5,170,106.5,69.1
Ford         ,Taurus           ,245.815,10.055,Passenger,17.885,3,155,108.5,73
Ford         ,Focus            ,175.67,.,Passenger,12.315,2,107,103,66.9
Ford         ,Crown Victoria   ,63.403,14.21,Passenger,22.195,4.6,200,114.7,78.2
Ford         ,Explorer         ,276.747,16.64,Car,31.93,4,210,111.6,70.2
Ford         ,Windstar         ,155.787,13.175,Car,21.41,3,150,120.7,76.6
Ford         ,Expedition       ,125.338,23.575,Car,36.135,4.6,240,119,78.7
Ford         ,Ranger           ,220.65,7.85,Car,12.05,2.5,119,117.5,69.4
Ford         ,F-Series         ,540.561,15.075,Car,26.935,4.6,220,138.5,79.1
Honda        ,Civic            ,199.685,9.85,Passenger,12.885,1.6,106,103.2,67.1
Honda        ,Accord           ,230.902,13.21,Passenger,15.35,2.3,135,106.9,70.3
Honda        ,CR-V             ,73.203,17.71,Car,20.55,2,146,103.2,68.9
Honda        ,Passport         ,12.855,17.525,Car,26.6,3.2,205,106.4,70.4
Honda        ,Odyssey          ,76.029,19.49,Car,26,3.5,210,118.1,75.6
Hyundai      ,Accent           ,41.184,5.86,Passenger,9.699,1.5,92,96.1,65.7
Hyundai      ,Elantra          ,66.692,7.825,Passenger,11.799,2,140,100.4,66.9
Hyundai      ,Sonata           ,29.45,8.91,Passenger,14.999,2.4,148,106.3,71.6
Infiniti     ,I30              ,23.713,19.69,Passenger,29.465,3,227,108.3,70.2
Jaguar       ,S-Type           ,15.467,.,Passenger,42.8,3,240,114.5,71.6
Jeep         ,Wrangler         ,55.557,13.475,Car,14.46,2.5,120,93.4,66.7
Jeep         ,Cherokee         ,80.556,13.775,Car,21.62,4,190,101.4,69.4
Jeep         ,Grand Cherokee   ,157.04,18.81,Car,26.895,4,195,105.9,72.3
Lexus        ,ES300            ,24.072,26.975,Passenger,31.505,3,210,105.1,70.5
Lexus        ,GS300            ,12.698,32.075,Passenger,37.805,3,225,110.2,70.9
Lexus        ,GS400            ,3.334,.,Passenger,46.305,4,300,110.2,70.9
Lexus        ,LS400            ,6.375,40.375,Passenger,54.005,4,290,112.2,72
Lexus        ,LX470            ,9.126,.,Car,60.105,4.7,230,112.2,76.4
Lexus        ,RX300            ,51.238,.,Car,34.605,3,220,103,71.5
Lincoln      ,Continental      ,13.798,20.525,Passenger,39.08,4.6,275,109,73.6
Lincoln      ,Town car         ,48.911,21.725,Passenger,43.33,4.6,215,117.7,78.2
